tarefa,tipo,tecnica,input_texto,resposta,esperado,acuracia,tokens_prompt,tokens_resposta,tempo_ms
classificacao_sentimento,classificacao,zero_shot,Produto excelente! Chegou antes do prazo e a qualidade superou minhas expectativas. Recomendo demais,POSITIVO,POSITIVO,1.0,174,75,11570
classificacao_sentimento,classificacao,zero_shot,Péssima experiência. O produto veio com defeito e o atendimento ao cliente foi horrível. Nunca mais ,NEGATIVO,NEGATIVO,1.0,179,31,1622
classificacao_sentimento,classificacao,zero_shot,"O produto é ok, nada de especial. O preço é bom mas a qualidade poderia ser melhor. Entrega dentro d",MISTO,MISTO,1.0,179,221,8590
classificacao_sentimento,classificacao,zero_shot,Recebi o pedido ontem. É um fone de ouvido bluetooth modelo XR-200.,NEUTRO,NEUTRO,1.0,171,61,2854
classificacao_sentimento,classificacao,zero_shot,"Adorei a embalagem e o design do produto, mas infelizmente parou de funcionar depois de uma semana d",MISTO,MISTO,1.0,181,83,3106
classificacao_sentimento,classificacao,zero_shot,"Comprei para dar de presente e a pessoa amou! Material resistente, acabamento perfeito e chegou muit",POSITIVO,POSITIVO,1.0,178,61,2375
classificacao_sentimento,classificacao,zero_shot,Produto não corresponde à descrição do anúncio. As fotos mostram um material completamente diferente,NEGATIVO,NEGATIVO,1.0,177,57,2337
classificacao_sentimento,classificacao,few_shot,Produto excelente! Chegou antes do prazo e a qualidade superou minhas expectativas. Recomendo demais,POSITIVO,POSITIVO,1.0,258,71,2941
classificacao_sentimento,classificacao,few_shot,Péssima experiência. O produto veio com defeito e o atendimento ao cliente foi horrível. Nunca mais ,NEGATIVO,NEGATIVO,1.0,263,63,2412
classificacao_sentimento,classificacao,few_shot,"O produto é ok, nada de especial. O preço é bom mas a qualidade poderia ser melhor. Entrega dentro d",MISTO,MISTO,1.0,263,100,3571
classificacao_sentimento,classificacao,few_shot,Recebi o pedido ontem. É um fone de ouvido bluetooth modelo XR-200.,NEUTRO,NEUTRO,1.0,255,64,2393
classificacao_sentimento,classificacao,few_shot,"Adorei a embalagem e o design do produto, mas infelizmente parou de funcionar depois de uma semana d",MISTO,MISTO,1.0,265,96,3367
classificacao_sentimento,classificacao,few_shot,"Comprei para dar de presente e a pessoa amou! Material resistente, acabamento perfeito e chegou muit",POSITIVO,POSITIVO,1.0,262,56,2105
classificacao_sentimento,classificacao,few_shot,Produto não corresponde à descrição do anúncio. As fotos mostram um material completamente diferente,NEGATIVO,NEGATIVO,1.0,261,54,2057
classificacao_sentimento,classificacao,chain_of_thought,Produto excelente! Chegou antes do prazo e a qualidade superou minhas expectativas. Recomendo demais,POSITIVO,POSITIVO,1.0,269,51,2138
classificacao_sentimento,classificacao,chain_of_thought,Péssima experiência. O produto veio com defeito e o atendimento ao cliente foi horrível. Nunca mais ,NEGATIVO,NEGATIVO,1.0,274,63,2322
